               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.032798,            0.012857,           0.0016123,             0.20579,             0.19986,             0.16786,            0.058986,            0.057679,             0.01144,            0.027486,            0.004258,            0.004258,            0.004258
                  60,            0.034901,            0.010863,           0.0010848,             0.18255,             0.18333,             0.15599,            0.054432,            0.057233,            0.011592,            0.027539,            0.004159,            0.004159,            0.004159
                  61,            0.034496,           0.0094026,           0.0010515,             0.20959,             0.20933,             0.17826,            0.062506,            0.056987,            0.011693,            0.027109,             0.00406,             0.00406,             0.00406
                  62,            0.028204,            0.010364,           0.0014569,               0.203,             0.20893,             0.18101,            0.061992,            0.056668,            0.011595,            0.027842,            0.003961,            0.003961,            0.003961
                  63,            0.030203,           0.0092542,           0.0010277,             0.20779,             0.21764,             0.18689,            0.061316,            0.056732,            0.011585,            0.028485,            0.003862,            0.003862,            0.003862
                  64,            0.035676,           0.0097508,           0.0016115,             0.20888,             0.21549,             0.17869,             0.06099,            0.057225,             0.01145,            0.028796,            0.003763,            0.003763,            0.003763
                  65,            0.034272,             0.01072,           0.0010443,             0.21635,             0.23217,             0.19246,            0.058929,            0.055953,            0.011528,            0.028569,            0.003664,            0.003664,            0.003664
                  66,             0.02923,           0.0095784,           0.0010568,             0.20733,             0.23729,             0.18169,            0.063891,            0.055428,            0.011677,            0.028148,            0.003565,            0.003565,            0.003565
                  67,            0.031153,           0.0089508,           0.0015253,             0.22616,             0.23763,             0.18638,            0.064221,            0.055634,            0.011727,            0.027184,            0.003466,            0.003466,            0.003466
                  68,            0.031751,            0.011721,           0.0017266,             0.21268,             0.24166,             0.18321,            0.062649,             0.05612,            0.011883,            0.026413,            0.003367,            0.003367,            0.003367
                  69,            0.030835,            0.012029,           0.0023192,             0.22492,             0.23887,             0.19258,             0.06425,            0.055381,            0.011884,            0.027083,            0.003268,            0.003268,            0.003268
                  70,            0.026012,            0.010766,          0.00090933,              0.2349,             0.23914,             0.20086,            0.065555,            0.055014,            0.011918,             0.02736,            0.003169,            0.003169,            0.003169
                  71,            0.028343,            0.010592,           0.0011004,             0.22432,             0.24202,             0.18889,               0.067,            0.055537,            0.011531,            0.028504,             0.00307,             0.00307,             0.00307
                  72,            0.027931,           0.0094151,          0.00083134,              0.2244,             0.23453,              0.1889,            0.061664,            0.055844,            0.011488,            0.028932,            0.002971,            0.002971,            0.002971
                  73,            0.028604,           0.0098056,          0.00082539,              0.2158,             0.23982,             0.18591,             0.06564,            0.055939,            0.011456,            0.029095,            0.002872,            0.002872,            0.002872
                  74,            0.028913,            0.010039,           0.0010296,             0.21866,             0.22113,             0.18308,            0.065589,             0.05625,             0.01142,            0.029249,            0.002773,            0.002773,            0.002773
